PRODUCT,PRODUCT ID,PHYSICAL,LOGICAL,GMI FC,R&N A.C.N,GROUP,CLEARING ADMIN,CLEARING VENUE,MIC CODE,BUYER PAY INDEX (COMMODITY REFERENCE PRICE),CFTC REPORTABLE LEVEL,PAIRED SWAP BASIS,POSITION TYPE INDICATOR,SECTION 20.2 COVERED FUTURES CONTRACT,SELLER PAY INDEX (COMMODITY REFERENCE PRICE)
ICE Brent NX/Brent Futures Spread,3639, , ,,,Crude Oil and Refined Products,BrentNX/Brent,ICEU,IFEU,,,,,,
ICE Heating Oil/Brent Crack Spread,2928,.,.,,,Crude Oil and Refined Products,HO/BRN Crack,ICEU,IFEU,,,,,,
ICE Heating Oil/Brent NX Crack Spread,3641,.,.,,,Crude Oil and Refined Products,HO/BNX Crack,ICEU,IFEU,,,,,,
ICE RBOB Gasoline/Brent Crack Spread,2929,.,.,,,Crude Oil and Refined Products,RBOB/BRN Crack,ICEU,IFEU,,,,,,
ICE RBOB Gasoline/Brent NX Crack Spread,3640,.,.,,,Crude Oil and Refined Products,RBOB/BNX Crack,ICEU,IFEU,,,,,,
Fuel Oil 1% FOB NWE Cargoes Balmo Future,1897,AAA-AAZ; ABA-ABE,CAS,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Argus Biodiesel RME FOB Rotterdam Future,2082,ABI,ABI,HI,T036,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
PJM AEP Dayton Hub Day-Ahead Peak Daily Fixed Price Future,2159,ADA,ADA,H2,,Electricity,Pwr E DailyMini,ICEU,IFED,,,,,,
PJM AEP Dayton Hub Day-Ahead Peak Fixed Price Future,2160,ADB,ADB,H3,,Electricity,Pwr East Mini,ICEU,IFED,,,,,,
PJM AEP Dayton Hub Day-Ahead Off-Peak Daily Fixed Price Future,2161,ADC,ADC,H4,,Electricity,Pwr E OPDayMini,ICEU,IFED,,,,,,
PJM AEP Dayton Hub Day-Ahead Off-Peak Fixed Price Future,2162,ADD,ADD,H5,,Electricity,Pwr East OPMini,ICEU,IFED,,,,,,
PJM AEP Dayton Hub Real-Time Off-Peak Daily Fixed Price Future,1615,ADO,ADO,YD,QM61,Electricity,Pwr EastOPDaily,ICEU,IFED,,,,,,
NYISO Zone A Day-Ahead Peak Daily Fixed Price Future,548,ADP,ADP,PX,NO07,Electricity,Pwr East Daily,ICEU,IFED,,,,,,
AB NIT Basis Future,451,AEC,AEC,NB,NA83,Natural Gas,Basis Master,ICEU,IFED,,,,,,
Argus Euro-Bob Oxy FOB Rotterdam Barges Future,2083,AEO,AEO,2Y,T035,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,,,,,,
Richards Bay Coal (supporting Cal 1x Options),3535,AFC,AFR,IAFC,,Coal,ICE Coal Rbay,ICEU,IFEU,,,,,,
Richards Bay Coal Cal 1x Options,3535,AFC,AFR,IAFC,,Coal,ICE Coal Rbay,ICEU,IFEU,,,,,,
"Propane, Argus Far East, Fixed Price Future",2447,AFE,AFE,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
Richards Bay Coal (supporting Qtr 1x Options),3536,AFQ,AFR,IAFQ,,Coal,ICE Coal Rbay,ICEU,IFEU,,,,,,
Richards Bay Coal Qtr 1x Options,3536,AFQ,AFR,IAFQ,,Coal,ICE Coal Rbay,ICEU,IFEU,,,,,,
Richards Bay Coal Futures,519,AFR,AFR,PL,NN90,Coal,ICE Coal Rbay,ICEU,IFEU,,,,,,
Richards Bay Coal Options,519,AFR,AFR,PL,NN90,Coal,ICE Coal Rbay,ICEU,IFEU,,,,,,
Fuel Oil Diff - Fuel Oil 180 CST Singapore vs 3.5% FOB Rotterdam Barges Balmo Future,1894,AGA-AGZ; AHA-AHE,SFT,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Fuel Oil Diff - Fuel Oil 380 cst Singapore vs 3.5% FOB Rotterdam Barges Balmo Future,3080,AHF-AHZ; AIA-AIJ,SKS,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
AB NIT Index Future,465,AIS,AIS,Y8,QM89,Natural Gas,Index Master,ICEU,IFED,,,,,,
Fuel Oil Diff - Fuel Oil 180 CST Singapore vs 380 CST Singapore Balmo Future,1898,AKA-AKZ; ALA-ALE,STT,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,,,,,,
Algonquin Citygates Index Future,3042,ALI,ALI,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Algonquin Citygates Basis Future ,2145,ALQ,ALQ,H9,,Natural Gas,Basis Master,ICEU,IFED,,,,,,
Algonquin Citygates Swing Future,3042,ALS,ALS,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
Dubai 1st Line Balmo Future,1895,AMA-AMZ; ANA-ANE,DBJ,,,Crude Oil and Refined Products,Crude Outrights,ICEU,IFEU,,,,,,
ANR SW (Oklahoma) Basis Future ,443,ANO,ANO,Y1,NG67,Natural Gas,Basis Master,ICEU,IFED,,,,,,
Option on PJM AEP Dayton Hub Real-Time Off-Peak Fixed Price Future,3549,AOD,AOD,YN,QM71,Electricity,Pwr East Term,ICEU,IFED,,,,,,
PJM AEP Dayton Hub Real-Time Off-Peak Fixed Price Future,1625,AOD,AOD,YN,QM71,Electricity,Pwr East OPTerm,ICEU,IFED,,,,,,
ANR SW (Oklahoma) Index Future,3155,AOI,AOI,,,Natural Gas,Index Master,ICEU,IFED,,,,,,
NYISO Zone A Day-Ahead Off-Peak Fixed Price Future,368,AOP,AOP,AO,L061,Electricity,Pwr East OPTerm,ICEU,IFED,,,,,,
ANR SW (Oklahoma) Swing Future,3160,AOS,AOS,,,Natural Gas,Swing Master,ICEU,IFED,,,,,,
"Propane, Argus CIF ARA, Fixed Price Future",1900,APC,APC,A6,SN16,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
ANR SE (Louisiana) Index Future,3156,API,API,,,Natural Gas,Index Master,ICEU,IFED,,,,,,
"Propane, Argus CIF ARA vs. Naphtha, Platts CIF NWE Cargo, Differential Future",3261,APN,APN,,,Natural Gas Liquids,NGL Master,ICEU,IFEU,,,,,,
