Clearing,Globex,Floor,ClearPort,Product Name,Product Group,Subgroup,Category,Sub-Category,Cleared As,Exchange,Volume,Open Interest
ED,GE,ED,-,Eurodollar Futures,Interest Rate,Stirs,-,-,Futures,CME,1516923,9086935
LNE,LNE,LN,LN,Natural Gas European Options,Energy,Natural Gas,-,Outrights,Options,NYMEX,133376,5324015
ED,GE,CE / PE,-,Eurodollar Options,Interest Rate,Stirs,-,-,Options,CME,79366,4276783
ES,ES,ES,-,E-mini S&P 500 Futures,Equities,US Index,-,-,Futures,CME,1629974,2954066
LO,LO,LO,LO,Crude Oil Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,103438,2911934
NN,NN,NN,NN,Henry Hub Swap Futures,Energy,Natural Gas,-,Outrights,Futures,NYMEX,112795,2697970
E3,GE3,E3,-,Eurodollar 3yr MC Options,Interest Rate,Stirs,-,-,Options,CME,47966,2321158
ES,ES,ES,-,E-mini S&P 500 Options,Equities,US Index,-,-,Options,CME,138862,2298618
21,ZN,TY,-,10 Yr Note Futures,Interest Rate,US Treasury,-,-,Futures,CBT,1119551,2198221
E2,GE2,E2,-,Eurodollar 2yr MC Options,Interest Rate,Stirs,-,-,Options,CME,23838,2046390
25,ZF,FV,-,5 Yr Note Futures,Interest Rate,US Treasury,-,-,Futures,CBT,606878,1836993
CL,CL,CL,CL,Crude Oil Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,385611,1719767
21,OZN,TC / TP,-,10 Yr Note Options,Interest Rate,US Treasury,-,-,Options,CBT,125415,1671674
C,OZC,CY / PY,-,Corn Options,Agriculture,Grain And Oilseed,-,-,Options,CBT,166788,1506594
NG,NG,NG,NG,Natural Gas (Henry Hub) Physical Futures,Energy,Natural Gas,-,Outrights,Futures,NYMEX,465721,1440532
C,ZC,C,-,Corn Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,655122,1363425
OG,OG,OG,OG,Gold Options,Metals,Precious,-,-,Options,COMEX,30662,1320849
N9,N9L,N9,N9,PJM Western Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,46800,1280747
E0,GE0,E0,-,Eurodollar 1yr MC Options,Interest Rate,Stirs,-,-,Options,CME,20533,1196025
NP,NPG,NP,NP,Henry Hub Penultimate NP Futures,Energy,Natural Gas,-,Outrights,Futures,NYMEX,35214,983016
25,OZF,FL / FP,-,5 Yr Note Options,Interest Rate,US Treasury,-,-,Options,CBT,13560,940580
26,ZT,TU,-,2 Yr Note Futures,Interest Rate,US Treasury,-,-,Futures,CBT,174608,926131
B6,B6L,B6,B6,PJM Northern Illinois Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,924948
AO,AAO,AO,AO,WTI Average Price Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,5979,872025
L3,L3L,L3,L3,PJM Northern Illinois Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,782956
S,OZS,CZ / PZ,-,Soybean Options,Agriculture,Grain And Oilseed,-,-,Options,CBT,96082,776108
E4,E4L,E4,E4,PJM Western Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,767350
E4,GE4,E4,-,Eurodollar 4yr MC Options,Interest Rate,Stirs,-,-,Options,CME,32700,688897
17,ZB,US,-,U.S. Treasury Bond Futures,Interest Rate,US Treasury,-,-,Futures,CBT,343841,626280
V3,V3L,V3,V3,PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,46800,619974
S,ZS,S,-,Soybean Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,310890,567153
H2,H2L,H2,H2,ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,ISO-NE,Monthly Off-Peak,Futures,NYMEX,0,483619
W,ZW,W,-,Wheat Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,193109,444411
17,OZB,CG / PG,-,U.S. Treasury Bond Options,Interest Rate,US Treasury,-,-,Options,CBT,36261,417247
W,OZW,WY / WZ,-,Wheat Options,Agriculture,Grain And Oilseed,-,-,Options,CBT,49765,416008
GC,GC,GC,GC,Gold Futures,Metals,Precious,-,-,Futures,COMEX,134261,409956
SP,SP,CS / PS,-,S&P 500 Options,Equities,US Index,-,-,Options,CME,32863,398761
41,ZQ,FF,-,30 Day Federal Funds Futures,Interest Rate,Stirs,-,-,Futures,CBT,12781,377428
UBE,UB,UL,-,Ultra U.S. Treasury Bond Futures,Interest Rate,US Treasury,-,-,Futures,CBT,68283,371801
NQ,NQ,NQ,-,E-Mini NASDAQ 100 Futures,Equities,US Index,-,-,Futures,CME,145546,361199
R7,R7L,R7,R7,PJM AEP Dayton Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,360595
O1,AO1,O1,O1,ERCOT West 345 kV Hub 5 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,342480
WAY,WAY,WA,WA,WTI Crude Oil 1 Month Calendar Spread Options,Energy,Crude Oil,-,Spreads,Options,NYMEX,353,334033
7,ZL,BO,-,Soybean Oil Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,139522,331309
48,LE,LC,-,Live Cattle Futures,Agriculture,Livestock,-,-,Futures,CME,96616,330341
RB,RB,RB,RB,RBOB Gasoline Physical Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,145043,317975
W6,AW6,W6,W6,PJM PSEG Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,305014
H4,EJL,H4,H4,MISO Indiana Hub (formerly Cinergy Hub) Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,MISO,Monthly Off-Peak,Futures,NYMEX,0,304608
HH,HH,HH,HH,Natural Gas (Henry Hub) Last-day Financial Futures,Energy,Natural Gas,-,Outrights,Futures,NYMEX,20508,303725
HO,HO,HO,HO,Heating Oil Physical Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,112050,285062
48,LE,CK / PK,-,Live Cattle Options,Agriculture,Livestock,-,-,Options,CME,25733,277380
BA,BA,BA,BA,Brent Crude Oil Average Price Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,4050,273959
